intltool 0.51.0-6
inxi 3.1.06-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
irssi 1.2.2-3
iw 5.9-1
jfsutils 1.1.15-7
jq 1.6-4
jsoncpp 1.9.4-1
kvantum-qt5 0.16.1-1
kvantum-theme-arc 20180614-3
laptop-detect 0.16-1
lf-bin 16-1
libcups 2.3.3-3
libdvdcss 1.4.2-2
libgsf 1.14.47-1
libmtp 1.1.17-1
libopenraw 0.2.3-2
libpwquality 1.4.2-3
libtool 2.4.6+42+gb88cebd5-14
lightdm 1:1.30.0-4
linux-atm 2.5.2-6
linux-firmware 20200916.00a84c5-1
lm_sensors 3.6.0-2
logrotate 3.17.0-1
lsb-release 1.4-18
lshw B.02.19.2-1
lsscsi 0.31-1
lvm2 2.02.187-3
lxappearance 0.6.3-3
lxappearance-obconf 0.2.3-3
lxrandr 0.3.2-2
m4 1.4.18-3
maim 5.6.3-2
make 4.3-3
man-db 2.9.3-1
man-pages 5.08-1
mate-calc 1.24.1-1
mc 4.8.24-2
mdadm 4.1-2
meld 3.20.2-1
memtest86+ 5.01-4
menulibre 2.2.1-1
mesa 20.2.0-2
micro 2.0.7-1
mintstick-git r212.9fee9e0-1
mixxx 2.2.4-3
mkinitcpio-nfs-utils 0.3-7
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-5
mobile-broadband-provider-info 20190618-2
moc 1:2.5.2-3
modemmanager 1.14.2-1
mp3info 0.8.5a-8
mpc 0.33-3
mpd 0.22-1
mpv 1:0.32.0-4
mtools 4.0.24-1
mtpfs 1.1-4
mugshot 0.4.2-1
nano 5.2-1
nbd 3.20-2
ncmpcpp 0.8.2-12
ndisc6 1.0.4-2
neofetch 7.1.0-2
neovim 0.4.4-1
netctl 1.23-1
network-manager-applet 1.18.0-1
networkmanager 1.26.2-1
networkmanager-dispatcher-ntpd 1.0-7
networkmanager-openconnect 1.2.6-2
networkmanager-openvpn 1.8.12-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-2
networkmanager-vpnc 1.2.7dev+20+gdca3aea-2
nfs-utils 2.5.1-1
nilfs-utils 2.2.8-2
nitrogen 1.6.1-3
nnn 3.4-1
nomacs 1:3.17.2206-1
noto-fonts 20190926-4
nss-mdns 0.14.1-3
ntfs-3g 2017.3.23-5
ntp 4.2.8.p15-1
numix-circle-arc-icons-git 20.1-1
numix-circle-icon-theme-git 0.r60.020815d-1
numix-gtk-theme-git 2.6.7.r52.15923f7-1
numix-icon-theme-git 0.r2010.e4bd022cc-1
numlockx 1.2-5
obconf 2.0.4-7
obkey-git 1.0.47.gcf99076-1
obmenu-generator 0.88-1
obmenu3 1.05-2
oh-my-zsh-git r5779.a55a30ec3-1
openbox 3.6.1-7
openbox-themes-pambudi-git r27.0a42296-1
openconnect 1:8.10-1
openresolv 3.11.0-1
openssh 8.4p1-1
openvpn 2.4.9-2
os-prober 1.77-2
p7zip 16.02-6
pamac-aur 9.5.10-1
pamixer 1.4-3
partclone 0.3.15-1
parted 3.3-2
partimage 0.6.9-13
patch 2.7.6-8
pavucontrol 1:4.0-2
peek 1.5.1-3
perl-checkupdates-aur 0.04-1
perl-linux-desktopfiles 0.25-2
perl-www-aur 0.22-3
picom 8.1-2
pkgconf 1.7.3-1
plank 0.11.89-2
playerctl 2.2.1-1
polkit 0.118-1
polkit-gnome 0.105-5
polybar 3.4.3-2
poppler-glib 20.09.0-1
poppler-qt5 20.09.0-1
ppp 2.4.7-7
pptpclient 1.10.0-2
pragha 1.3.4-2
pulseaudio 13.0-3
pulseaudio-alsa 1:1.2.2-2
pulseaudio-bluetooth 13.0-3
pulseaudio-equalizer-ladspa 3.0.2-3
python-pip 20.1.1-1
python-pyparted 3.11.6-1
python-pywal 3.3.0-2
python2-dbus 1.2.16-1
python2-pyxdg 0.26-6
qbittorrent 4.2.5-1
qt5-webkit 5.212.0alpha4-7
qt5-xmlpatterns 5.15.1-1
qt5ct 1.1-1
qtile 0.16.1-1
qutebrowser 1.13.1-1
ranger 1.9.3-2
redshift 1.12-3
refind 0.12.0-6
reflector 2020.9-1
reiserfsprogs 3.6.27-3
remind 3.3.1-1
ristretto 0.10.0-3
rofi 1.6.0-1
rp-pppoe 3.14-1
rsync 3.2.3-1
rxvt-unicode 9.22-10
sardi-icons 20.9-1
scheduler 1.2.0-1
screenkey-git 1.2.r0.g427cdc4-1
scrot 1.4-1
sdparm 1.11-1
sg3_utils 1.45-1
shell-color-scripts 0.1-1
simple-mtpfs 0.4.0-1
simple-scan 3.38.1-1
simplescreenrecorder 0.4.2-1
smartmontools 7.1-4
spectrwm 3.4.1-1
speedtest-cli 2.1.2-2
splix 2.0.0-15
squashfs-tools 4.4-2
sscrotwm-git r33.07c58bf-1
st-distrotube-git 0.8.2.r3.30cc3b0-1
stow 2.3.1-3
sublime-text-dev 3.3211-1
sudo 1.9.3.p1-1
surfn-icons-git 20.9-1
sutils-git 35-1
sxhkd 0.6.2-1
sxiv 26-1
syslinux 6.04.pre2.r11.gbf6db5b4-3
system-config-printer 1.5.12+33+g23b454ef-1
tcpdump 4.9.3-2
termite 15-2
testdisk 7.1-2
texinfo 6.7-3
the_platinum_searcher-bin 2.2.0-1
thunar 1.8.15-1
thunar-archive-plugin 0.4.0-3
thunar-media-tags-plugin 0.3.0-2
thunar-volman 0.9.5-3
tig 2.5.1-1
timeshift 20.03-1
tint2 16.7-2
tk 8.6.10-2
tmux 3.1_b-1
transmission-cli 3.00-2
transmission-gtk 3.00-2
trayer-srg-git r122.6c670cf-1
tree 1.8.0-2
trizen 1:1.63-1
ttf-bitstream-vera 1.10-14
ttf-dejavu 2.37+18+g9b5d1b2f-2
ttf-droid 20121017-8
ttf-font-awesome 5.15.0-1
ttf-hack 3.003-3
ttf-inconsolata 1:3.000-2
ttf-liberation 2.1.1-1
ttf-ms-fonts 2.0-12
ttf-roboto 2.138-4
ttf-ubuntu-font-family 0.83-6
tumbler 0.2.9-2
udiskie 2.2.0-2
udisks2 2.9.1-1
ufw 0.36-3
unace 2.5-11
unrar 1:5.9.4-1
unzip 6.0-14
upower 0.99.11-3
urxvt-perls 2.3-1
